comment,label
proses pengirimannya terlalu lama,Negatif
aneh bgt jual brow product tp ga include kuasnya ehehe agak gmn gt useless bgt mesti nunggu buat brushnya lg,Negatif
"barang sudah sampai sesuai deskripsi, wanginya enak, gak bikin pusing recommended seller :thumbs_up::thumbs_up:",Positif
"pesan 3 kemasan miranda,slh satunya sdh berkurang isinya & dlm kondisi tumpah. kl tumpah volume full sy tau, tp ini kondisi isi tidak full 100%, msh tumpah pula. mau... ",Negatif
"kualitas produk agak diragukan karena warna airnya keruh hampir kuning. berbeda dengan asli beli di indo***** warnanya jernih putih gitu. entah ori atau bukan seller harus lebih amanah lagi. mentang"" lagi promo yg dikirim barang reject. tutupnya pun pecah.",Negatif
sudah sampai :smiling_face_with_heart-eyes:,Positif
barang ok... tpi syg paket dtg ny lama... trmksh:folded_hands:,Positif
"baru dipake bbrp hr, blom keliatan hasilnya..",Negatif
paket sudah sampe dengan selamat ...suka sama produk inez buat tokonya semoga makin jaya berkah selalu,Positif
pas di buka paketnya micellar waternya sudah ga ada isi nya pada basah kotaknya,Negatif
produk bagus tapi pengirimannya lama,Netral
"kertas nya gada,kcewa",Negatif
"proses pengiriman lama dr tgl 2 order tgl 13 baru di trm brg nya itu pun dlm kondisi paket hancur penyok2 dan ada brg yg rusak pecah tutupnya, brg di trm sept pesanan cum... ",Negatif
nama produk (buy 2 get 3) di deskripsi gk di jelasin harus beli min. 150k baru dapet free. solusi dr cs gk membantu. udh ngajuin pengembalian dan udh kirim balik barangnya ke luxcrime tapi di kembaliin lagi. gak jelas banget,Negatif
free micellar water bipase ga dikasihkan. pdhl dipromonya ada,Negatif
"jujur sebenernya suka sama warnanya, sayang di bibir aku jadi agak kering:crying_face:",Netral
"kondisi pecah saat bungkus dibuka, habis ga tersisa, kecewa karena barang seperti ini ga ada tanda fragilenya",Negatif
"pesan 2 dikirim 1. kirain jujur makanya ga videin lg, jadinya rugi deh ga bisa klaim",Negatif
pakaging baru emng lebih bagus sih. tp kenapa tutupnya kurang mantep ya nutupnya? ngeri bakal gampang kebuka nih. ini dibuat gampang kebuka gini atau gmn ya? krna pakaging yg lama kerasa lbh kenceng klo udh d tutup :(,Netral
"negative sides: hard to apply, tip nya kaku, dan plg anehnya baru dipakai sekitar 2 minggu, aplikasi hanya 1x/hari lalu sudah kering? apakah memang isinya sedikit sekali? rata2 ak pakai eyeliner baru habis stlh 3-4 bln positive side: warna hitam nya pekat. verdict : won't repurchase this eyeliner ",Negatif
aplikatornya meleleh gk bisa dipakai.rusak di dlm,Positif
"beli pas lagi ada promo cuma 50ribuan, tapi sayang ternyata exp nya april 2023. 8 bulan lagi dong!! hmm.. sedangkan saya termasuk org yg jarang make up'an kalo ga kon... ",Netral
"pengiriman lama di kurir...beli tanggal 2 baru sampe tgl 6...sesama jakarta masa 4 hari biasanya cm 1 hari sampe. kurirnya nakal, barang blm dikirim tp sdh ada keterangan... ",Positif
lama banget euy pengirimannya,Netral
maap ak kira ini pake kuas ternyata gk ada kuasnya hihihii,Positif
"tekstur:kasar produknya bau balsem, warnanya sudah beda dari yg lama, teksturnya kasar. padahal saya langganan di toko ini, kok sdah gini sih jualannya.",Negatif
toko kurang kirim dan respon yang kurang baik terhadap customer. belajar kembali jadi toko yang amanah dan jujur. kepuasan pelanggan no 1.,Negatif
"barang nya rusak, tolong sebelum di kirim di cek dulu barang nya,",Negatif
"tekstur:powdery ? cocok untuk:muka performa:mantap ini menurutku cocok untuk kulit sawo matang, menurutku yaaaaaa",Positif
belinya parfum dikirimny kutek,Netral
"warna:kegelapan bgt ketebalan:b aja tekstur:b aja sumpah si rada kecewa poll takira bakalan seperfek itu ,,salah bgt si udh berekpetasi tinggi bikin muka makin gelap malah,trs tuh pas d aplly kaya ga nyatu gtu malah kaya bedak murah jatohnya ..nyeesell mana mahal isinya jga dikitt pollll ,im sorry",Negatif
"mendekati exp,",Netral
lumayan la,Netral
"packingnya kurang banget, produknya ga dikasih bubble wrap",Netral
kemasan:baik original,Positif
utk pengiriman via anteraja sangat buruk sekali..sudah komplain sy minta retur tp dari pihak tokopedia tetap meneruskan dana ke penjual..padahal sy sudah beli d ecommerce... ,Negatif
packaging kurang ok. gak pake bable wrap. tapi its ok :slightly_smiling_face:,Negatif
ini tuh produk cina ya? soalnya tulisannya tulisan cina ngga kayak kalo kita beli langsung,Negatif
"bagus tapi tidak membuat kulit cerah, pembelian kedua ini, cocok di aku soalnya kulitku sangat sensitive",Positif
"baru pertama x pakai, kombinasi dgn moisturizer, bgn pagi pori klhtan mengecil.",Positif
"barang yang saya terima tidak sesuai dengan pesanan dan caption pada gambar. tidak ada 2x greentea foam cleanser, tidak ada 4 x real squeeze mask, tidak ada 4 greentea seed serum, mengecewakan",Negatif
"saya sudah berkali2 repurchase moisturizer ini. baru kali ini pengemasan sangat buruk. hanya pakai plastik, dan bubble wrapnya tidak dilakban sama sekali. cuma digulung doang. alhasil produk langsung terbuka dari bubble wrapnya. dus erhanya agak penyok. untung aja tube dan isinya ga kenapa-kenapa.",Negatif
"cocok untuk:rambut tekstur:lembut performa:ok baru mendarat, kecewa uda beberapa x langganan masih aja tetep kurang bagus packaging nya. yang bagus packing dapat nya sekali dua x sisanya rembes. tolong mbak/mas, kalo packing yang shampoo atau sabun tutupnya di isolasi dari atas kebawah serta samping. akhirnya gak rapet rembes ke kardus2.",Negatif
"diserahkan ke kurir lama, jadinya lama sampe",Positif
"ga sebagus yg dikira, sesuai hargalag",Negatif
blom yg rutin bgtt make nya krn kadang suka lg malas:beaming_face_with_smiling_eyes:..trueve:red_heart::heart_hands::red_heart:,Positif
kemasan:lucu bgt pengalaman penggunaan:lumayan lama nyaman banget ngga berat di muka seneng pokoknya,Positif
kecil buangettt,Negatif
udah pakai sebulan tapi gak ada efek apa2,Netral
salah produk.. sengaja banget? males bgt :unamused_face: udah trusted taunya seenaknya,Negatif
pengalaman penggunaan:wrna tdk sesuai dengan foto...jauh sekali perbedaannya,Netral
barang sudah diterima dg baik:smiling_face_with_smiling_eyes:,Netral
"pesen bedak sm lipstik, yg dateng lipstik doang. aku buyer platinum, ga pernah komplain selama ini, tp toped dan seller ga percaya dan ga ada yg mau tanggung jawab. kecew... ",Negatif
sesuai pesanan.. dapet harga promo juga:beaming_face_with_smiling_eyes:,Positif
