review_id,review_text,price,packaging,product,aroma
708,sunscreen termahal yang pernah gue beli ini kayanya. but it's worth it sih and will definitely buy again. sukanya sama suncreen ini:  - high spf - nggak meninggalkan white cast. perfectly blends into the skin - nggak membuat muka berminyak - very light - doesn't clog pores  produk ini berhasil membuat gue jadi mau pakai sunscreen :),-1,0,1,0
838,"ini enak banget dipakainya, enteng banget diwajah, enggak lengket juga, nyerapnya cepat banget . ga bikin muka makin berminyak, ini bisa tahan sekitar 8 jam kurang lebihnya, ya. ini bisa dipakai sebagai dasar makeup, juga, lho .",0,0,1,0
1166,"the description is quite right. produk ini emang cocok banget dipakai pas cuaca lagi panas-panasnya karena lotionnya agak dingin pas dipakai dan karena scent verbena yang citrusy dan segar! dibanding lotion l'occitane lain, ini teksturnya sedikit lebih rich tapi cepat menyerap dan lebih melembabkan. verbena itself has a quite a refreshing scent that works both for women and men. ",0,0,1,1
1374,"bisa untuk wajah dan badan dengan harga yang sangat affordable! dipakai di wajah tidak akan oksidasi dan meninggalkan warna terlalu putih. dipakai di badan pun dingin dan tidak lengket sama sekali.  teksturnya seperti gel tapi lebih cair, mudah sekali aplikasi di badan. biasanya selalu saya pakai di area leher dan tangan.   packagingnya oke, bentuknya botol, tapi harus dipencet untuk mengeluarkannya, mudah dikontrol jadinya.",1,1,1,0
1421,"saya beli produk ini karena suka banget wanginya. biasanya saya jarang suka produk body lotion yang terlalu fancy karena kayaknya jarang yang bener-bener melembabkan dan nggak cuma menang wangi aja. tapi surprisingly i'm quite happy with this one, the texture is quite rich dan berasa lembabnya.   tapi karena harganya cukup mahal, saya masih mikir-mikir nih apakah akan beli lagi atau nggak ;)",-1,0,0,1
1526,"kemasannya oke, seperti lotion citra pada umumnya. yang ini kan lagi versi unik yang aku susah mendefinisikannya. tutupnya flip top. warna botolnya putih. ada gambar alpukat dan biji almond.  tekstur  kentalnya pas. cepat meresap ke kulit. warnanya putih. dan wanginya enak hampir mirip kaya citra jaman dulu. yang warnanya kombinasi putih kuning dan botol jumbo. aku pernah baca di blognya siapa gitu aku lupa, ada yang kangen sama wangi ini. selamat kangen-kangenan deh. :) cuma nggak mirip banget kok, ada sensasi segar barunya. pokoknya aku cinta sama wangi ini. nggak lebay!  hasil? kulitku lembabnya tahan lama! tapi aku nggak sedang aktifitas di luar loh ya! tapi kulitku jadi sehat dan memang lebih cerah. beberapa hari lalu aku ke pantai bande alit. untung banget aku pakai ini dan bawa juga di tas. gilak panasnya nggak difilter! tapi lotion ini cukup keren ngelindungi kulitku. tetap gelap, tapi nggak parah banget. dan nggak bikin aku setress abis ke pantai. ^^ malah stress mikirin pasir yang masuk ke pori-pori celana nggak bisa keluar. aaarghh!",0,1,1,1
1874,"ini andalanku klo mau keluar2 rumah, teksturnya ringan, ngga lengket, cepat menyerap, dan yg psti perlindungan dr matahari baguuss.. tp emg cpt bkin berminyak wajahnya hehe.. tp klo ud pkai skinaqua rasany tenang krna wajah bebas sunburn hihi",0,0,1,0
2242,"pertama kali pake ini, di kulit enak banget..udah gitu dia ga se-oily sunblock lainnya...cocok buat dipake sebelum bedak buat sehari2..harganya emg rada mahal tp buat gue awet sampe 6 bulanan jd worth it bgt..",-1,0,1,0
2468,"ini mungkin adalah my holygrail suncreen. spf tinggi dan teksturnya watery tapi moist. cocok untuk kulitku yang cenderung kering. setelah bersihin wajah, terus pake serum dan moisturizer, aku pakai skin aqua uv sunscreen. aku biarkan dulu 1-2 menit terus baru pakai bb cream+pact setelah itu. hasilnya make up jadi dewy dan tahan lama. harganya sangat terjangkau apalagi kalau lagi sale. pasti repurchase kalau kehabisan.",1,0,1,0
3308,"tinted sunscreen yang worth it banget buat aku, cocok sama warnanya, teskturnya ringan banget jadi gampang diratain ga perlu kuatir cemong-cemong, oil control nya hebat, dan yang pasti dengan spf 30 dan pa ++ harga dibawah 40.000 idr untuk 30 ml itu jadi murah dan keren abis. udah lebih dari 4 tahun pakai ini, orang-orang bilang muka jadi lebih putih.",1,0,1,0
3438,"sunscreen pertamaku setelah 2 tahun lepas dari skincare dokter kulit , suka sama kemasannya mencerminkan sunscreen banget hahha , teksturnya lotion agak kental warna putih , awal pakai aku kira bakal susah diratain ternyata enggak , cepat meresap kok , hasil akhir matte ,enggak bikin muka oily heboh setelah 3-4 jam pemakaian ,",0,1,1,0
4731,"pakai uv tint ini karena lagi window shopping aja di watsons. sekedar coba-coba karena lagi bermasalah sama jerawat. tapi setelah dicoba ok banget!. harganya yang murah jadi buat produk ini pas banget. walaupun nggak bisa maksimal nutupi jerawat tapi nggak bikin kulit berminyak. tempatnya yang mungil dan tutupnya yang aman, bisa banget buat masuk di pouch mungil. sangat berguna dipake sehari-hari.",1,1,1,0
4916,"kulit ku tipe yang susah nyerap produk, tapi sunscreen ini gampang nyerap, gak bikin berminyak juga. aku punya nya yang versi tint warna pink, bisa bikin wajah cerah seketika. sayangnya harganya mahal banget dan isinya cuman dikit",-1,0,0,0
4947,"cukup mahal memang, tapi worth it. nge blend di wajah. tidak lengket meskipun teksturnya kental (krim).   saya tidak berencana membeli produk ini lagi karena sudah cocok memakai produk yang lain yang lebih terjangkau, yaitu larissa dan wardah.",-1,0,-1,0
4948,"sangat terjangkau. cocok di wajah. aromanya enak, seger. gelnya light banget. setelah diaplikasikan berasa langsung meresap. tidak menyebabkan oily atau kering. just right di wajah aku. saya pakai untuk sehari-hari karena ringan di wajah.",1,0,1,1
5390,"ini sunscreen pertama saya dan sukses bikin saya repurchase terus sampe sekarang karena murah. teksturnya lightweight, cepat menyerap, cukup melembapkan dan yang paling saya suka tidak bikin whitecast! selain itu sunscreen ini mudah banget dicari dimana-mana. pokonya belum ada yang bisa gantiin sunscreen ini dari segi kualitas mantap, harga murah dan availability nya :d",1,0,1,0
5706,"sunscreens ini berguna untuk kamu yang sering melakukan aktifitas outdoor, gak hanya outdoor saja, berenang, berjemur, dan selfie di pantai pun harus memakai perlindungan sunscreens terlebih dahulu. 30menit sebelum kena sinar matahari. dan produk ini bisa dipakai untuk seluruh tubuh dan wajah. i really love this product, but the price is expensive t__t",-1,0,1,0
5826,"i love this sunscreen! sebelumnya saya biasa menggunakan produk sunblock\\\\/sunscreen keluaran amerika\\\\/eropa yang umumnya lengket dan berminyak.  sunscreen ini benar-benar lightweight, feels like nothing on the skin, dan tidak meninggalkan white cast di kulit. meski ada kandungan alkoholnya tapi nggak terasa mengeringkan kulit. harganya juga sangat terjangkau. karena ini tergolong chemical sunscreen, maka orang dengan kulit sensitif perlu berhati-hati, ya.this is a water based chemical sunscreen, jadi keuntungannya jelas terasa ringan di wajah dan nggak ada white cast. performs well under makeup.   harus hati-hati karena sunscreen jni nggak water resistant maupun sebum resistant. selain itu, kandungan alkoholnya cukup tinggi, jadi untuk kulit kering seperti saya harus pakai moisturizer.",1,0,1,0
6470,"salah satu suncreen favorite dengan spf 30 dan tekstur mirip jelly. tidak ada warnanya sehingga cocok untuk berbagai skintone. wanginya enak, fresh agak mirip buah.  saat dipakai, rasanya nyaman dan tidak lengket karena mudah meresap. tidak membuat wajah lebih glowy ataupun matte.  cocok untuk pemakaian di wajah dan tubuh, praktis! packaging botolnya nyaman di genggam dan mulut botolnya kecil jadi lebih mudah mengontrol pemakaian.   repurchased.",0,1,1,1
6600,"paling favorit sepanjang masa!  packaging: bagus, besarnya pas, bentuknya tube jadi gampang aplikasinya. bagian luarnya empuk, jadi dipencet dikit udah keluar cairannya.  texture: cair, nggak creamy kayak sun screen lainnya. jadi nggak ada yang namanya white cast atau white residue. kayak nggak pake apa-apa setelah diaplikasikan. ditimpa dengan compact powder jadi lebih gampang. love it!  color: putih cenderung bening. tapi setelah diaplikasikan menyatu dengan warna kulit. padahal ini spf-nya 50 lho. dibandingkan dengan suncreen merek lain dengan spf lebih rendah, biore ini lebih light warnanya.   price: relatif murah, sekitar rp, 150.000. dibandingkan sunscreen lain yang harganya 200.000 - 400.000, jelas biore lebih murah. it's worth every penny.",1,1,1,0
7908,"my holy grail face sunscreen!  beli di watsons jakarta (lupa harganya berapa), dan langsung jatuh cinta saat apply pertama kali. aromanya enak, fruity dan segar. saat diaplikasikan terasa seperti memakai moisturizer saja, karena dapat diratakan dan menyerap dengan cepat, jadi tidak terasa berminyak. ada sensasi sejuk saat mengoleskan di muka. sungguh menyenangkan! sayangnya sulit dicari dan harganya cukup mahal ya, 2-3 kali lipat dibanding sunscreen saya sebelumnya.",-1,0,1,1
8091,"suka banget sama produk ini, karna menyerap dengan baik ke kulit. ada sensasi dinginnya dan nyaman dipakai. nggak berat dipakai dan cocok untuk sehari-hari. harganya terjangkau dan mudah didapat. tapi karena sudah banyak moisturizer yang pakai spf jadi kadang udah nggak pakai ini.",1,0,1,0
8759,"produk melanox yang satu ini sangat sukses mencuri hati saya, saya suka banget. dengan menggunakan produk ini, saya bisa selamat dari teriknya panas matahari selama 10 hari acara outbond full di lapangan. kemasannya kecil dan travel friendly, sangat mudah untuk dibawa kemana saja. selain itu kandungannya juga oil free dan non-comedogenic. walaupun bentuknya kecil dengan harga yang lumayan mahal, tapi produk ini awet banget guys.  warnanya sendiri sedikit cream, tapi ga perlu khawatir karena ketika di blend, maka produk ini menyatu dengan baik di kulit. rasanya aga lengket sih di awal, tapi hanya sebentar saja dan setelah itu produk ini menyatu dengan baik di kulit. that's why i do love this product.",-1,1,1,0
8812,"udah pake sunscreen ini dari lama banget, selalu repurchase. what's not to love? murah, gampang carinya, spfnya tinggi, ga bikin kucel dan jerawatan (kalo di aku yaa), gampang di blend dan meresap cepat di kulit. emang finishnya ga matte sih tapi ga bikin oily parah juga kok",1,0,1,0
12134,"love it... dia murah, tapi sebagus shiseido yang harganya 7 kali lipat... bayangkan..... sejak tau biore face milk jadi berasa ga mau beli shiseido lagi muka jadi matte, nahan minyak...  so far ga ada masalah dan ga bikini break out",1,0,1,0
