No.,comment,label
1,produk ini sangat bagus kulitku jadi lebih halus dan cerah,positif
2,aku kecewa tidak ada perubahan setelah pemakaian dua minggu,negatif
3,biasa saja tidak terlalu buruk tapi juga tidak istimewa,netral
4,wanginya enak dan cepat meresap ke kulit suka banget,positif
5,teksturnya terlalu lengket dan bikin wajahku berminyak,negatif
6,kemasan oke tapi efeknya belum terlihat setelah beberapa hari,netral
7,harganya mahal tapi hasilnya sebanding wajahku makin glowing,positif
8,tidak cocok di kulitku malah muncul jerawat,negatif
9,pengiriman cepat produk sesuai deskripsi,netral
10,kulitku jadi lebih lembab dan sehat setelah rutin pakai ini,positif
11,produk ini bikin wajahku lebih segar dan kenyal,positif
12,gak ada efek yang dijanjikan malah bikin kulitku kusam,negatif
13,lumayan gak terlalu buruk tapi juga gak terlalu bagus,netral
14,pelembabnya ringan dan gak bikin lengket suka banget,positif
15,produk ini bikin kulitku kering dan iritasi,negatif
16,sudah pakai satu bulan belum ada perubahan signifikan,netral
17,wanginya lembut dan tahan lama jadi makin percaya diri,positif
18,aku gak suka teksturnya terlalu berminyak dan lengket di wajah,negatif
19,produk ini oke sih tapi harganya agak kemahalan,netral
20,setelah pakai ini wajahku lebih cerah dan lembut recommended,positif
21,kulitku malah jadi merahmerah setelah pakai ini gak cocok,negatif
22,produk sampai dengan kemasan aman tapi belum coba pakai,netral
23,cocok banget di kulitku bikin glowing tanpa bikin berminyak,positif
24,aku gak suka baunya terlalu menyengat,negatif
25,efeknya sih ada tapi gak terlalu kelihatan,netral
26,ini produk terbaik yang pernah aku coba kulitku sehat dan bercahaya,positif
27,sayang banget ternyata gak cocok di aku muncul jerawat kecilkecil,negatif
28,lumayanlah untuk harga segini tapi aku masih cari yang lebih bagus,netral
29,benerbener melembabkan dan bikin kulit kenyal seharian,positif
30,gak sesuai ekspektasi aku berharap lebih dari produk ini,negatif
31,produk original sesuai deskripsi pengiriman juga cepat,netral
32,setelah pakai ini kulitku lebih sehat dan gak gampang kering,positif
33,gak ada efeknya sama sekali malah bikin breakout di wajahku,negatif
34,produk lumayan sih tapi gak jauh beda sama yang lain,netral
35,aku suka banget gak bikin iritasi dan hasilnya kelihatan cepat,positif
36,teksturnya aneh gak nyaman dipakai di wajah,negatif
37,belum ada efek yang terasa tapi juga gak ada efek negatif,netral
38,wanginya enak dan cepat menyerap bikin kulit lembab lebih lama,positif
39,aku gak suka sama packagingnya kelihatan murahan,negatif
40,produk ini oke buat yang cari pelembab ringan tanpa efek berminyak,netral
41,sudah coba beberapa produk lain tapi ini yang paling cocok di kulitku,positif
42,produk ini gak sebagus yang diiklankan aku kecewa,negatif
43,biasa aja sih gak ada yang istimewa tapi juga gak jelek,netral
44,aku suka banget sama teksturnya yang ringan dan gampang meresap,positif
45,sayang banget produk ini bikin kulitku makin berminyak,negatif
46,belum lihat hasilnya mungkin butuh waktu lebih lama,netral
47,setelah rutin pakai kulitku lebih cerah dan sehat,positif
48,aku alergi sama salah satu bahannya jadi gak bisa lanjut pakai,negatif
49,produk ini oke tapi aku masih cari yang lebih cocok,netral
50,beneran bikin kulitku lembut dan glowing suka banget,positif
51,mungkin ini cuma di aku tapi gak ada efek sama sekali,negatif
52,kemasan rapi dan sesuai deskripsi tapi belum coba produknya,netral
53,beli ini karena rekomendasi teman dan ternyata emang bagus banget,positif
54,baunya terlalu kuat dan bikin pusing gak nyaman pakai ini,negatif
55,produk ini gak buruk sih cuma aku lebih suka yang lain,netral
56,kulit jadi lebih halus dan gak gampang kering setelah pakai ini,positif
57,gak sesuai ekspektasi aku pikir bakal lebih bagus,negatif
58,lumayan ada efeknya tapi gak terlalu signifikan,netral
59,teksturnya ringan gampang diaplikasikan dan hasilnya bagus,positif
60,malah bikin breakout di wajahku gak bakal beli lagi,negatif
61,produk ini cukup oke tapi gak ada efek wow yang bikin aku repurchase,netral
62,aku suka banget cocok untuk kulit sensitif dan hasilnya bikin glowing,positif
63,setelah beberapa minggu pakai aku merasa gak ada perubahan,negatif
64,produk lumayan oke mungkin harus dipakai lebih lama biar kelihatan hasilnya,netral
65,melembabkan seharian tanpa bikin berminyak produk favoritku,positif
66,harganya mahal banget tapi hasilnya gak sebanding,negatif
67,aku suka sama kemasannya elegan dan mudah dibawa,netral
68,wajahku kelihatan lebih cerah dan sehat setelah rutin pakai ini,positif
69,teksturnya lengket dan susah meresap aku gak suka,negatif
70,produk ini lumayan tapi aku masih ragu buat repurchase,netral
71,aku suka banget sama efeknya kulitku terasa lebih kenyal,positif
72,gak cocok di kulitku malah bikin kering dan iritasi,negatif
73,sudah pakai selama seminggu sejauh ini gak ada masalah,netral
74,hasilnya sesuai klaimnya aku puas banget,positif
75,harapanku terlalu tinggi ternyata biasa aja,negatif
76,produk ini cukup oke buat pelembab seharihari,netral
77,wanginya lembut dan menenangkan suka banget pakai ini sebelum tidur,positif
78,efeknya lambat banget harus nunggu bermingguminggu buat lihat hasil,negatif
79,not bad mungkin aku akan coba produk lain dari brand ini,netral
80,tekstur dan hasilnya sangat memuaskan bakal beli lagi,positif
81,produk ini bikin kulitku lebih cerah dan sehat recommended banget,positif
82,gak ada perubahan sama sekali cuma buangbuang uang,negatif
83,aku masih belum bisa bilang ini bagus atau enggak efeknya belum jelas,netral
84,teksturnya ringan dan gampang meresap suka banget,positif
85,produk ini malah bikin wajahku jadi kusam dan berminyak,negatif
86,sudah pakai seminggu sejauh ini biasa aja,netral
87,kulitku jadi lebih lembut dan kenyal setelah pakai ini,positif
88,aku gak suka sama wanginya terlalu menyengat dan bikin pusing,negatif
89,harganya mahal sih tapi masih dalam batas wajar,netral
90,benerbener bikin kulitku glowing bakal beli lagi,positif
91,malah bikin jerawatan gak cocok di kulitku,negatif
92,kemasan rapi dan sesuai deskripsi tapi belum coba efeknya,netral
93,melembabkan banget tanpa bikin lengket suka banget,positif
94,aku nyesel beli ini gak ada efek positif sama sekali,negatif
95,lumayan lah untuk harga segini gak bisa berharap terlalu tinggi,netral
96,kulitku makin sehat dan lebih halus setelah rutin pakai,positif
97,produknya gak sesuai ekspektasi aku pikir bakal lebih bagus,negatif
98,aku belum lihat perubahan signifikan mungkin butuh waktu lebih lama,netral
99,produk ini sangat cocok untuk kulit sensitif aku suka,positif
100,wanginya terlalu kuat jadi kurang nyaman dipakai,negatif
101,aku gak bisa bilang jelek tapi juga gak terlalu bagus,netral
102,hasilnya beneran bikin wajah cerah dan sehat recommended,positif
103,sayang banget gak cocok di kulitku malah jadi kering dan kasar,negatif
104,aku masih coba beberapa kali sejauh ini gak ada efek negatif,netral
105,setelah pakai ini wajahku lebih segar dan glowing,positif
106,mungkin ini cuma aku tapi malah bikin kulitku kusam,negatif
107,harganya cukup terjangkau untuk kualitas seperti ini,netral
108,pelembab ini beneran bikin kulitku tetap lembab seharian suka banget,positif
109,gak suka sama teksturnya terlalu tebal di wajah,negatif
110,produknya biasa aja sih gak terlalu istimewa menurutku,netral
111,efeknya beneran terlihat dalam seminggu gak nyangka bakal secepat ini,positif
112,aku nyesel beli ini malah bikin jerawat makin banyak,negatif
113,packagingnya oke tapi belum coba efeknya di wajah,netral
114,kulitku lebih lembut dan cerah setelah pakai ini secara rutin,positif
