No.,comment,label
1,Produk ini sangat bagus! Kulitku jadi lebih halus dan cerah.,positif
2,"Aku kecewa, tidak ada perubahan setelah pemakaian dua minggu.",negatif
3,"Biasa saja, tidak terlalu buruk tapi juga tidak istimewa.",negatif
4,"Wanginya enak dan cepat meresap ke kulit, suka banget!",positif
5,Teksturnya terlalu lengket dan bikin wajahku berminyak.,negatif
6,"Kemasan oke, tapi efeknya belum terlihat setelah beberapa hari.",negatif
7,"Harganya mahal tapi hasilnya sebanding, wajahku makin glowing!",positif
8,"Tidak cocok di kulitku, malah muncul jerawat.",negatif
9,"Pengiriman cepat, produk sesuai deskripsi.",negatif
10,Kulitku jadi lebih lembab dan sehat setelah rutin pakai ini!,positif
11,Produk ini bikin wajahku lebih segar dan kenyal.,positif
12,"Gak ada efek yang dijanjikan, malah bikin kulitku kusam.",negatif
13,"Lumayan, gak terlalu buruk tapi juga gak terlalu bagus.",negatif
14,"Pelembabnya ringan dan gak bikin lengket, suka banget!",positif
15,Produk ini bikin kulitku kering dan iritasi.,negatif
16,"Sudah pakai satu bulan, belum ada perubahan signifikan.",negatif
17,"Wanginya lembut dan tahan lama, jadi makin percaya diri!",positif
18,"Aku gak suka teksturnya, terlalu berminyak dan lengket di wajah.",negatif
19,"Produk ini oke sih, tapi harganya agak kemahalan.",negatif
20,"Setelah pakai ini, wajahku lebih cerah dan lembut, recommended!",positif
21,"Kulitku malah jadi merah-merah setelah pakai ini, gak cocok.",negatif
22,"Produk sampai dengan kemasan aman, tapi belum coba pakai.",negatif
23,"Cocok banget di kulitku, bikin glowing tanpa bikin berminyak!",positif
24,"Aku gak suka baunya, terlalu menyengat.",negatif
25,"Efeknya sih ada, tapi gak terlalu kelihatan.",negatif
26,Ini produk terbaik yang pernah aku coba! Kulitku sehat dan bercahaya!,positif
27,"Sayang banget, ternyata gak cocok di aku, muncul jerawat kecil-kecil.",negatif
28,"Lumayanlah untuk harga segini, tapi aku masih cari yang lebih bagus.",negatif
29,Bener-bener melembabkan dan bikin kulit kenyal seharian!,positif
30,"Gak sesuai ekspektasi, aku berharap lebih dari produk ini.",negatif
31,"Produk original, sesuai deskripsi, pengiriman juga cepat.",negatif
32,"Setelah pakai ini, kulitku lebih sehat dan gak gampang kering.",positif
33,"Gak ada efeknya sama sekali, malah bikin breakout di wajahku.",negatif
34,"Produk lumayan sih, tapi gak jauh beda sama yang lain.",negatif
35,Aku suka banget! Gak bikin iritasi dan hasilnya kelihatan cepat.,positif
36,"Teksturnya aneh, gak nyaman dipakai di wajah.",negatif
37,"Belum ada efek yang terasa, tapi juga gak ada efek negatif.",negatif
38,"Wanginya enak dan cepat menyerap, bikin kulit lembab lebih lama.",positif
39,"Aku gak suka sama packaging-nya, kelihatan murahan.",negatif
40,Produk ini oke buat yang cari pelembab ringan tanpa efek berminyak.,negatif
41,"Sudah coba beberapa produk lain, tapi ini yang paling cocok di kulitku!",positif
42,"Produk ini gak sebagus yang diiklankan, aku kecewa.",negatif
43,"Biasa aja sih, gak ada yang istimewa tapi juga gak jelek.",negatif
44,Aku suka banget sama teksturnya yang ringan dan gampang meresap!,positif
45,"Sayang banget, produk ini bikin kulitku makin berminyak.",negatif
46,"Belum lihat hasilnya, mungkin butuh waktu lebih lama.",negatif
47,"Setelah rutin pakai, kulitku lebih cerah dan sehat!",positif
48,"Aku alergi sama salah satu bahannya, jadi gak bisa lanjut pakai.",negatif
49,"Produk ini oke, tapi aku masih cari yang lebih cocok.",negatif
50,"Beneran bikin kulitku lembut dan glowing, suka banget!",positif
51,"Mungkin ini cuma di aku, tapi gak ada efek sama sekali.",negatif
52,"Kemasan rapi dan sesuai deskripsi, tapi belum coba produknya.",negatif
53,"Beli ini karena rekomendasi teman, dan ternyata emang bagus banget!",positif
54,"Baunya terlalu kuat dan bikin pusing, gak nyaman pakai ini.",negatif
55,"Produk ini gak buruk sih, cuma aku lebih suka yang lain.",negatif
56,Kulit jadi lebih halus dan gak gampang kering setelah pakai ini.,positif
57,"Gak sesuai ekspektasi, aku pikir bakal lebih bagus.",negatif
58,"Lumayan, ada efeknya tapi gak terlalu signifikan.",negatif
59,"Teksturnya ringan, gampang diaplikasikan, dan hasilnya bagus!",positif
60,"Malah bikin breakout di wajahku, gak bakal beli lagi.",negatif
61,"Produk ini cukup oke, tapi gak ada efek wow yang bikin aku repurchase.",negatif
62,Aku suka banget! Cocok untuk kulit sensitif dan hasilnya bikin glowing!,positif
63,"Setelah beberapa minggu pakai, aku merasa gak ada perubahan.",negatif
64,"Produk lumayan oke, mungkin harus dipakai lebih lama biar kelihatan hasilnya.",negatif
65,"Melembabkan seharian tanpa bikin berminyak, produk favoritku!",positif
66,"Harganya mahal banget, tapi hasilnya gak sebanding.",negatif
67,"Aku suka sama kemasannya, elegan dan mudah dibawa.",negatif
68,Wajahku kelihatan lebih cerah dan sehat setelah rutin pakai ini.,positif
69,"Teksturnya lengket dan susah meresap, aku gak suka.",negatif
70,"Produk ini lumayan, tapi aku masih ragu buat repurchase.",negatif
71,"Aku suka banget sama efeknya, kulitku terasa lebih kenyal!",positif
72,"Gak cocok di kulitku, malah bikin kering dan iritasi.",negatif
73,"Sudah pakai selama seminggu, sejauh ini gak ada masalah.",negatif
74,"Hasilnya sesuai klaimnya, aku puas banget!",positif
75,"Harapanku terlalu tinggi, ternyata biasa aja.",negatif
76,Produk ini cukup oke buat pelembab sehari-hari.,negatif
77,"Wanginya lembut dan menenangkan, suka banget pakai ini sebelum tidur!",positif
78,"Efeknya lambat banget, harus nunggu berminggu-minggu buat lihat hasil.",negatif
79,"Not bad, mungkin aku akan coba produk lain dari brand ini.",negatif
80,"Tekstur dan hasilnya sangat memuaskan, bakal beli lagi!",positif
81,"Produk ini bikin kulitku lebih cerah dan sehat, recommended banget!",positif
82,"Gak ada perubahan sama sekali, cuma buang-buang uang.",negatif
83,"Aku masih belum bisa bilang ini bagus atau enggak, efeknya belum jelas.",negatif
84,"Teksturnya ringan dan gampang meresap, suka banget!",positif
85,Produk ini malah bikin wajahku jadi kusam dan berminyak.,negatif
86,"Sudah pakai seminggu, sejauh ini biasa aja.",negatif
87,Kulitku jadi lebih lembut dan kenyal setelah pakai ini!,positif
88,"Aku gak suka sama wanginya, terlalu menyengat dan bikin pusing.",negatif
89,"Harganya mahal sih, tapi masih dalam batas wajar.",negatif
90,"Bener-bener bikin kulitku glowing, bakal beli lagi!",positif
91,"Malah bikin jerawatan, gak cocok di kulitku.",negatif
92,"Kemasan rapi dan sesuai deskripsi, tapi belum coba efeknya.",negatif
93,"Melembabkan banget tanpa bikin lengket, suka banget!",positif
94,"Aku nyesel beli ini, gak ada efek positif sama sekali.",negatif
95,"Lumayan lah untuk harga segini, gak bisa berharap terlalu tinggi.",negatif
96,Kulitku makin sehat dan lebih halus setelah rutin pakai.,positif
97,"Produknya gak sesuai ekspektasi, aku pikir bakal lebih bagus.",negatif
98,"Aku belum lihat perubahan signifikan, mungkin butuh waktu lebih lama.",negatif
99,"Produk ini sangat cocok untuk kulit sensitif, aku suka!",positif
100,"Wanginya terlalu kuat, jadi kurang nyaman dipakai.",negatif
101,"Aku gak bisa bilang jelek, tapi juga gak terlalu bagus.",negatif
