comment,label
"pengiriman cepat, udah order beberapa kali gapernah gagal",Netral
produk nya bagus sesuai dengan pesanan,Positif
"tekstur bagus, light, warna natural",Positif
performa:luntur . klo gt mending maybeline . dari dulu emg pke maybeline tp krna ini viral jdi lh tertarik . eh taunya luntur kena wudhu doang pdhl g di gsok haedeuh .,Negatif
"pengemasannya perlu diperbaiki, lbh baik dibungkus simple tp aman, daripada dus besar tp hancur sampai ke tangan kita.",Netral
"bibir tube nya pecah. segingga produk tidak keluar dr ujung tube, tapi dr samping mulut tube yg pecah. jadinya pakai produknya selalu membludak tiap dipencet. bener2 erha packingnya buruk sekali :thumbs_down_dark_skin_tone: gak berubah dr dulu.",Negatif
pengiriman lama dan tidak sesuai dengan yang dijanjikan.,Negatif
maaf saya kasih bintang 3 karna tidak waterproof semua udah saya cuba ya eyebrow cream tidak waterproof,Netral
minta di cansel dulu karena salah pesan malah di batalin canselannya:weary_face: pdhl udah di dm...,Negatif
ada bonus nya semoga cocok baru mau coba sama semua produknya,Positif
produk oke hanya proses pengiriman nya sangat lama ,Negatif
packing aman pengiriman cepat harga terjangkau tone up jg cocok buat kalian yg mw hasilnya glowing glowing gitu buat type kulit yg berjerawat masih oke maaf foto dan video tdk sesuai,Positif
"bahannya ringan, terus fresh gitu",Positif
"biasa saja, tidak terasa efek brighteningnya",Netral
barang yg di kirim tidak sesuai dgn pesanan dua2nya sama nomornya padahal di kolom keterangan sy sdh tulis,Positif
cepet nyerep bagusss,Positif
bagus poll,Positif
"packagingnya pake kardus dan dilapisi oleh buble wrap jadi aman, untuk barangnya lucu sekali",Positif
"tekstur:barang datang dgn kondisi hancur, sungguh mengecewakan",Negatif
pengalaman penggunaan:jelek wangi:buruk kemasan:jelek yang datang malah ini,Negatif
"order 11 pack, dikirim cuma 9 pack",Negatif
"manfaat:2 kali pemakaian jerawat dah kempess, mantul sih ini tips pengguna:dipakai 1-2 kali sehari kemasan:packing nyaa rapih dan aman banget",Positif
"orang beli produk kok ndak dikirim sih, gimana nihh",Negatif
gratis an lipstiknya kok gak ada,Negatif
"sorry for the :star::star:, i didn't mean to drop the shop's rating :loudly_crying_face::loudly_crying_face: sengaja beli biar freenya marigold, bahkan keterangannya gabisa tukar shade, tapi yang dateng lain… padahal kalo toko confirm dari awal dengan chat i’m ok dan bakal nyari produk purbasari yang lain hiks sayangnya gaada keterangan :’)",Negatif
"bagus, not pricey but quality .",Positif
tekstur:bubuk kecewa bgt karna nunggu udah lama pas dateng begini,Negatif
bagus banged,Positif
pengalaman penggunaan:gasuka sama eyeliner nya,Negatif
